,date,new_deaths
148644,2020-03-01,
148651,2020-03-08,0.0
148658,2020-03-15,0.0
148665,2020-03-22,10.0
148672,2020-03-29,7.0
148679,2020-04-05,13.0
148686,2020-04-12,-14.0
148693,2020-04-19,-1.0
148700,2020-04-26,-5.0
148707,2020-05-03,-5.0
148714,2020-05-10,0.0
148721,2020-05-17,0.0
148728,2020-05-24,-3.0
148735,2020-05-31,-2.0
148742,2020-06-07,2.0
148749,2020-06-14,1.0
148756,2020-06-21,-2.0
148763,2020-06-28,-1.0
148770,2020-07-05,0.0
148777,2020-07-12,1.0
148784,2020-07-19,-1.0
148791,2020-07-26,1.0
148798,2020-08-02,1.0
148805,2020-08-09,-2.0
148812,2020-08-16,0.0
148819,2020-08-23,0.0
148826,2020-08-30,0.0
148833,2020-09-06,3.0
148840,2020-09-13,-3.0
148847,2020-09-20,2.0
148854,2020-09-27,1.0
148861,2020-10-04,1.0
148868,2020-10-11,14.0
148875,2020-10-18,7.0
148882,2020-10-25,16.0
148889,2020-11-01,-13.0
148896,2020-11-08,5.0
148903,2020-11-15,-9.0
148910,2020-11-22,2.0
148917,2020-11-29,-4.0
148924,2020-12-06,4.0
148931,2020-12-13,5.0
148938,2020-12-20,-9.0
148945,2020-12-27,-4.0
148952,2021-01-03,14.0
148959,2021-01-10,27.0
148966,2021-01-17,-7.0
148973,2021-01-24,21.0
148980,2021-01-31,6.0
148987,2021-02-07,32.0
148994,2021-02-14,-10.0
149001,2021-02-21,-8.0
149008,2021-02-28,-23.0
149015,2021-03-07,-25.0
149022,2021-03-14,-5.0
149029,2021-03-21,-17.0
149036,2021-03-28,-1.0
149043,2021-04-04,13.0
149050,2021-04-11,0.0
149057,2021-04-18,14.0
149064,2021-04-25,7.0
149071,2021-05-02,51.0
149078,2021-05-09,43.0
149085,2021-05-16,69.0
149092,2021-05-23,127.0
149099,2021-05-30,135.0
149106,2021-06-06,168.0
149113,2021-06-13,-119.0
149120,2021-06-20,-30.0
149127,2021-06-27,36.0
149134,2021-07-04,17.0
149141,2021-07-11,108.0
149148,2021-07-18,200.0
149155,2021-07-25,114.0
149162,2021-08-01,215.0
149169,2021-08-08,375.0
149176,2021-08-15,196.0
149183,2021-08-22,-103.0
149190,2021-08-29,261.0
149197,2021-09-05,213.0
149204,2021-09-12,360.0
149211,2021-09-19,240.0
149218,2021-09-26,-738.0
149225,2021-10-03,-748.0
149232,2021-10-10,-600.0
149239,2021-10-17,-54.0
149246,2021-10-24,-113.0
149253,2021-10-31,33.0
149260,2021-11-07,-133.0
149267,2021-11-14,6.0
149274,2021-11-21,-59.0
149281,2021-11-28,-19.0
149288,2021-12-05,-2.0
149295,2021-12-12,-40.0
149302,2021-12-19,-52.0
149309,2021-12-26,29.0
149316,2022-01-02,-44.0
149323,2022-01-09,-52.0
149330,2022-01-16,-31.0
149337,2022-01-23,-16.0
149344,2022-01-30,-26.0
149351,2022-02-06,-4.0
149358,2022-02-13,22.0
149365,2022-02-20,131.0
149372,2022-02-27,105.0
149379,2022-03-06,227.0
149386,2022-03-13,25.0
149393,2022-03-20,14.0
149400,2022-03-27,-205.0
149407,2022-04-03,-77.0
149414,2022-04-10,-118.0
149421,2022-04-17,-64.0
149428,2022-04-24,-51.0
149435,2022-05-01,-27.0
149442,2022-05-08,-18.0
149449,2022-05-15,-1.0
149456,2022-05-22,-4.0
149463,2022-05-29,-6.0
149470,2022-06-05,3.0
149477,2022-06-12,1.0
149484,2022-06-19,-7.0
149491,2022-06-26,0.0
149498,2022-07-03,11.0
149505,2022-07-10,2.0
149512,2022-07-17,14.0
149519,2022-07-24,15.0
149526,2022-07-31,-7.0
149533,2022-08-07,1.0
149540,2022-08-14,6.0
149547,2022-08-21,1.0
149554,2022-08-28,-11.0
149561,2022-09-04,-8.0
149568,2022-09-11,-7.0
149575,2022-09-18,-4.0
149582,2022-09-25,8.0
149589,2022-10-02,-17.0
149596,2022-10-09,0.0
149603,2022-10-16,-3.0
149610,2022-10-23,4.0
149617,2022-10-30,4.0
149624,2022-11-06,-8.0
149631,2022-11-13,39.0
149638,2022-11-20,-4.0
149645,2022-11-27,-7.0
149652,2022-12-04,11.0
149659,2022-12-11,-6.0
149666,2022-12-18,-14.0
149673,2022-12-25,-12.0
149680,2023-01-01,-4.0
149687,2023-01-08,-15.0
149694,2023-01-15,-8.0
149701,2023-01-22,0.0
149708,2023-01-29,0.0
149715,2023-02-05,77.0
149722,2023-02-12,-69.0
149729,2023-02-19,-3.0
149736,2023-02-26,-4.0
149743,2023-03-05,8.0
149750,2023-03-12,-8.0
149757,2023-03-19,-1.0
149764,2023-03-26,12.0
149771,2023-04-02,-12.0
149778,2023-04-09,3.0
149785,2023-04-16,9.0
149792,2023-04-23,5.0
149799,2023-04-30,-8.0
149806,2023-05-07,-1.0
149813,2023-05-14,-8.0
149820,2023-05-21,42.0
149827,2023-05-28,-11.0
149834,2023-06-04,-16.0
149841,2023-06-11,-5.0
149848,2023-06-18,0.0
149855,2023-06-25,1.0
149862,2023-07-02,-9.0
149869,2023-07-09,5.0
149876,2023-07-16,-5.0
149883,2023-07-23,1.0
149890,2023-07-30,-2.0
149897,2023-08-06,1.0
149904,2023-08-13,-2.0
149911,2023-08-20,0.0
149918,2023-08-27,0.0
149925,2023-09-03,3.0
149932,2023-09-10,1.0
149939,2023-09-17,-3.0
149946,2023-09-24,-1.0
149953,2023-10-01,2.0
149960,2023-10-08,3.0
149967,2023-10-15,-3.0
149974,2023-10-22,1.0
149981,2023-10-29,-3.0
149988,2023-11-05,6.0
149995,2023-11-12,-5.0
150002,2023-11-19,2.0
150009,2023-11-26,4.0
150016,2023-12-03,-1.0
150023,2023-12-10,5.0
150030,2023-12-17,17.0
150037,2023-12-24,-6.0
150044,2023-12-31,3.0
150051,2024-01-07,-25.0
