,Country,Model,MAE,MAPE,MASE
0,United States,Baseline,1091.2607,4511.6704,0.1985
2, Belgium,Baseline,57.5385,2312.2549,0.2426
4, Chile,Baseline,214.634,2422.8058,0.4881
6, Chile,Baseline,16.4689,71.1626,0.0517
8, Estonia,Baseline,3.1669,51.8334,0.1634
10, France,Baseline,177.6485,10599.4835,0.1721
12, Ireland,Baseline,17.703,183.1569,0.2975
14, Israel,Baseline,7.8477,140.7389,0.0811
16, Italy,Baseline,308.4966,1677.582,0.2655
18, Malaysia,Baseline,33.7796,1514.892,0.1098
