Model,MAE,mase
base a czech,30.54839197199987,5.049320987107417
base grid searched czech,30.311640033752933,5.010188435331064
gs seasonal czech,92.00571369052349,15.20755598190471
base a eston,5.808277034121439,2.8333058703031413
grid searched eston,5.931482567121926,2.893406130303379
gs seasonal eston,5.9021745632664775,2.8791095430568183
base a franc,117.93051406033852,9.827542838361543
grid searched franc,753.0780874434216,62.7565072869518
gs seasonal franc,121.60678745514731,10.13389895459561
base a malay,19.261251970935334,3.3791670124447952
grid searched malay,48.91871744043297,8.58223112990052
gs seasonal malay,41.663245220019476,7.309341266670083
base a belgi,180.05460541903605,68.59223063582326
grid searched belgi,193.0361047414955,73.5375637110459
gs seasonal belgi,2.9551092940348838,1.1257559215370985
base a chile,362.58532567120943,43.164919722763024
grid searched chile,370.9971216482349,44.16632400574225
gs seasonal chile,23.207318795431846,2.7627760470752194
base a irela,33.195674419081314,7.177443117639203
grid searched irela,41.1542611038758,8.898218617054226
gs seasonal irela,12.902439024390244,2.7897165458141067
base a israel,49.86658298474212,16.085994511207133
grid searched israe,63.342402690032465,20.433033125816923
gs seasonal israe,4.24644082373266,1.3698196205589224
base a italy,708.2120431679632,20.602532164886203
grid searched italy,952.0224891433252,27.69519968416946
gs seasonal italy,81.82082492325654,2.3802421795856445
base a us,3982.902808361293,24.862064971044276
grid searched us,5424.963380148769,33.86369151154038
gs seasonal us,532.0720497812688,3.3212986877732136
base a eston,5.808277034121439,2.8333058703031413
grid searched eston,5.931482567121926,2.893406130303379
gs seasonal eston,5.9021745632664775,2.8791095430568183
base a chile,362.58532567120943,43.164919722763024
grid searched chile,370.9971216482349,44.16632400574225
gs seasonal chile,23.207318795431846,2.7627760470752194
base a irela,33.195674419081314,7.177443117639203
grid searched irela,41.1542611038758,8.898218617054226
gs seasonal irela,12.902439024390244,2.7897165458141067
base a israel,49.86658298474212,16.085994511207133
grid searched israe,63.342402690032465,20.433033125816923
gs seasonal israe,4.24644082373266,1.3698196205589224
base a italy,708.2120431679632,20.602532164886203
grid searched italy,952.0224891433252,27.69519968416946
gs seasonal italy,81.82082492325654,2.3802421795856445
base a us,3982.902808361293,24.862064971044276
grid searched us,5424.963380148769,33.86369151154038
gs seasonal us,532.0720497812688,3.3212986877732136
