,date,new_deaths
63109,2022-02-06,132.0
63116,2022-02-13,99.0
63123,2022-02-20,-11.0
63130,2022-02-27,-20.0
63137,2022-03-06,-57.0
63144,2022-03-13,-81.0
63151,2022-03-20,-27.0
63158,2022-03-27,2.0
63165,2022-04-03,-40.0
63172,2022-04-10,18.0
63179,2022-04-17,-80.0
63186,2022-04-24,-1.0
63193,2022-05-01,-14.0
63200,2022-05-08,-20.0
63207,2022-05-15,-32.0
63214,2022-05-22,-10.0
63221,2022-05-29,-4.0
63228,2022-06-05,-4.0
63235,2022-06-12,1.0
63242,2022-06-19,-4.0
63249,2022-06-26,-1.0
63256,2022-07-03,7.0
63263,2022-07-10,10.0
63270,2022-07-17,2.0
63277,2022-07-24,21.0
63284,2022-07-31,43.0
63291,2022-08-07,16.0
63298,2022-08-14,-19.0
63305,2022-08-21,4.0
63312,2022-08-28,-25.0
63319,2022-09-04,-17.0
63326,2022-09-11,11.0
63333,2022-09-18,-4.0
63340,2022-09-25,13.0
63347,2022-10-02,35.0
63354,2022-10-09,23.0
63361,2022-10-16,19.0
63368,2022-10-23,-45.0
63375,2022-10-30,-18.0
63382,2022-11-06,-16.0
63389,2022-11-13,-1.0
63396,2022-11-20,-23.0
63403,2022-11-27,2.0
63410,2022-12-04,2.0
63417,2022-12-11,11.0
63424,2022-12-18,0.0
63431,2022-12-25,15.0
63438,2023-01-01,-2.0
63445,2023-01-08,-5.0
63452,2023-01-15,-23.0
63459,2023-01-22,-7.0
63466,2023-01-29,-16.0
63473,2023-02-05,6.0
63480,2023-02-12,2.0
63487,2023-02-19,11.0
63494,2023-02-26,13.0
63501,2023-03-05,-5.0
63508,2023-03-12,-7.0
63515,2023-03-19,21.0
63522,2023-03-26,-1.0
63529,2023-04-02,-10.0
63536,2023-04-09,-18.0
63543,2023-04-16,-5.0
63550,2023-04-23,-1.0
63557,2023-04-30,-6.0
63564,2023-05-07,-4.0
63571,2023-05-14,-1.0
63578,2023-05-21,-5.0
63585,2023-05-28,0.0
63592,2023-06-04,-3.0
63599,2023-06-11,-2.0
63606,2023-06-18,1.0
63613,2023-06-25,-2.0
63620,2023-07-02,1.0
63627,2023-07-09,-1.0
63634,2023-07-16,2.0
63641,2023-07-23,-1.0
63648,2023-07-30,-1.0
63655,2023-08-06,0.0
63662,2023-08-13,0.0
63669,2023-08-20,2.0
63676,2023-08-27,-1.0
63683,2023-09-03,3.0
63690,2023-09-10,2.0
63697,2023-09-17,-1.0
63704,2023-09-24,5.0
63711,2023-10-01,-2.0
63718,2023-10-08,6.0
63725,2023-10-15,6.0
63732,2023-10-22,-2.0
63739,2023-10-29,-2.0
63746,2023-11-05,21.0
63753,2023-11-12,-11.0
63760,2023-11-19,11.0
63767,2023-11-26,-3.0
63774,2023-12-03,14.0
63781,2023-12-10,16.0
63788,2023-12-17,8.0
63795,2023-12-24,-9.0
63802,2023-12-31,-28.0
63809,2024-01-07,-35.0
