,date,new_deaths,diff1
261085,2023-03-26,2084.0,343.0
261092,2023-04-02,1746.0,-338.0
261099,2023-04-09,1729.0,-17.0
261106,2023-04-16,1290.0,-439.0
261113,2023-04-23,1198.0,-92.0
261120,2023-04-30,1046.0,-152.0
261127,2023-05-07,1146.0,100.0
261134,2023-05-14,1943.0,797.0
261141,2023-05-21,755.0,-1188.0
261148,2023-05-28,738.0,-17.0
261155,2023-06-04,689.0,-49.0
261162,2023-06-11,631.0,-58.0
261169,2023-06-18,609.0,-22.0
261176,2023-06-25,576.0,-33.0
261183,2023-07-02,540.0,-36.0
261190,2023-07-09,487.0,-53.0
261197,2023-07-16,507.0,20.0
261204,2023-07-23,535.0,28.0
261211,2023-07-30,545.0,10.0
261218,2023-08-06,670.0,125.0
261225,2023-08-13,749.0,79.0
261232,2023-08-20,915.0,166.0
261239,2023-08-27,1052.0,137.0
261246,2023-09-03,1181.0,129.0
261253,2023-09-10,1301.0,120.0
261260,2023-09-17,1396.0,95.0
261267,2023-09-24,1402.0,6.0
261274,2023-10-01,1437.0,35.0
261281,2023-10-08,1374.0,-63.0
261288,2023-10-15,1291.0,-83.0
261295,2023-10-22,1355.0,64.0
261302,2023-10-29,1270.0,-85.0
261309,2023-11-05,1218.0,-52.0
261316,2023-11-12,1353.0,135.0
261323,2023-11-19,1380.0,27.0
261330,2023-11-26,1356.0,-24.0
261337,2023-12-03,1605.0,249.0
261344,2023-12-10,1614.0,9.0
261351,2023-12-17,1450.0,-164.0
261358,2023-12-24,1263.0,-187.0
261365,2023-12-31,839.0,-424.0
261370,2024-01-07,0.0,-839.0
